,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1
Zip Code: 98101,632000,480167,503150,499833,578000,531667,421683,473167,697667,528167,491500,450492,545250,534667,627783,713400,602714,573636,681650,619117,629967,614167,639467,691667,798633,784300,753333,778850,712483,639000,705417,656067,587417,641642,812367,682636,675500,633417,665332,863425,942889,745000,631167,646454,538833,658333,652128,600278,850000
Zip Code: 98102,478400,469706,472678,510033,481990,563115,574748,713090,588084,610917,658164,632116,663263,670538,698452,812398,757397,813735,943948,862362,847094,856167,824820,1011056,1061160,1123953,1099862,1154782,994948,904183,912748,987686,976643,1033230,1050193,1035250,931803,991560,1445086,1033128,1118357,1077755,1052790,991762,971769,1000496,1043535,1071667,829414
Zip Code: 98103,396300,440550,407155,394756,408807,449780,443280,459820,472632,460561,534677,486727,507592,551948,557999,556185,605968,613027,641907,642573,670310,689895,736618,736968,784596,832872,826282,758228,757417,768683,764391,730155,756017,748912,779648,739083,763935,835932,840817,788623,847252,875080,868017,905467,851765,938605,942392,912098,880175
Zip Code: 98104,324833,302212,206200,246000,301667,354000,311833,491003,770344,533264,303833,349667,380667,350667,425000,338667,582375,394863,438333,433777,322500,346667,421884,541667,556133,664800,701333,404000,579833,663975,599667,529000,578333,620650,625000,518750,562333,620617,582379,562483,393975,420808,419158,376642,415892,413967,408892,381217,453400
Zip Code: 98105,458600,508259,500059,483693,441060,504517,541387,491943,533933,538900,559897,643732,598284,657738,599245,629227,684800,690502,756758,752453,697592,769673,843404,824700,830869,928014,910872,889047,833879,818875,945965,833618,795855,881382,934495,903188,882166,912276,930376,899382,1026050,1227836,1190863,1051495,975626,1057597,985137,931402,1015833
Zip Code: 98106,205500,179825,201010,198691,228532,232750,258152,268311,237871,264536,292903,315409,292756,297442,318423,330893,321287,355270,373270,401059,450777,535488,463260,447936,550383,537850,520195,453500,450582,500060,565695,545908,581582,572340,545840,559150,501916,605700,631461,648380,640167,649590,694993,611561,615547,639659,617168,611327,660428
Zip Code: 98107,374950,385832,416759,426280,411113,422800,460415,465433,484125,496783,506530,508797,530047,544823,589747,595283,598223,621218,654492,680053,757627,770802,776292,789785,815457,842200,815707,830118,784749,814238,747623,731978,767860,790482,772970,779230,781223,877133,831475,836380,933493,981430,888598,763613,851433,880923,913830,1061333,1088500
Zip Code: 98108,206250,238739,264486,265780,280402,288827,312840,307200,320343,312250,286040,304254,312359,355659,413273,380160,359002,420186,472123,447958,491188,554188,631542,569444,612062,660891,553429,511055,498177,606167,486533,656693,640821,558790,655612,594592,626740,608971,638240,605393,717614,696830,631830,700550,602120,618758,681423,709951,727073
Zip Code: 98109,457250,492462,474910,509993,540981,512631,511593,499143,527750,592986,587423,569070,559238,630592,624457,653508,719948,871217,802934,783330,860460,895020,879285,860964,860630,870247,902439,889183,877708,1023402,911565,947103,892270,865608,944827,943158,894032,960292,1035730,1080148,941621,1124170,1074154,942083,941055,1003354,1210531,1111392,1043325
Zip Code: 98112,599811,578349,545300,682722,691416,670786,671330,628355,623583,676000,711532,726473,842705,803325,845297,813656,943539,960386,879000,819702,850827,898951,977847,1006824,1052120,1108893,1009400,1051367,1084883,1099433,1053605,981892,989268,1020284,1180643,1053143,1055420,1159225,1154446,1130128,1254533,1338163,1288017,1183615,1131194,1100720,1265363,1202545,1111584
Zip Code: 98115,390395,373899,378482,388411,388478,381993,449237,417300,429967,449085,469143,506130,483264,510531,510737,499817,539232,591880,616395,643983,662159,670445,715797,717550,762688,868012,899843,746555,777079,723316,753961,708689,723101,719813,780118,777336,764548,805095,817598,843842,967919,985666,842077,1049793,861782,864904,840219,890219,797627
Zip Code: 98116,345400,382612,468667,371985,386618,422269,513818,507509,462394,521656,595696,458893,584945,532351,590946,553233,587653,594807,648981,646004,671798,673016,655662,675317,739966,846080,814005,720343,723802,706580,705167,779715,808530,779816,801350,806003,817963,935127,800767,901462,932727,1171400,1108864,931100,793704,869540,910534,891452,820538
Zip Code: 98117,424290,367098,423083,415632,399698,448257,430235,437757,432531,487210,510972,561385,594663,542110,567066,511663,590212,646052,627672,670646,785910,756054,701786,731713,861947,796921,766950,761998,732379,673543,723113,716047,725454,826113,789261,834623,793253,808711,857495,885889,839082,1018227,934563,847767,875968,833908,921657,910212,912805
