0,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4
98101,629967,614167,639467,691667,798633,784300,753333,778850,712483,639000,705417,656067,587417,641642,812367,682636,675500,633417,665332,863425
98102,847094,856167,824820,1011056,1061160,1123953,1099862,1154782,994948,904183,912748,987686,976643,1033230,1050193,1035250,931803,991560,1445086,1033128
98103,670310,689895,736618,736968,784596,832872,826282,758228,757417,768683,764391,730155,756017,748912,779648,739083,763935,835932,840817,788623
98104,322500,346667,421884,541667,556133,664800,701333,404000,579833,663975,599667,529000,578333,620650,625000,518750,562333,620617,582379,562483
98105,697592,769673,843404,824700,830869,928014,910872,889047,833879,818875,945965,833618,795855,881382,934495,903188,882166,912276,930376,899382
98106,450777,535488,463260,447936,550383,537850,520195,453500,450582,500060,565695,545908,581582,572340,545840,559150,501916,605700,631461,648380
98107,757627,770802,776292,789785,815457,842200,815707,830118,784749,814238,747623,731978,767860,790482,772970,779230,781223,877133,831475,836380
98108,491188,554188,631542,569444,612062,660891,553429,511055,498177,606167,486533,656693,640821,558790,655612,594592,626740,608971,638240,605393
98109,860460,895020,879285,860964,860630,870247,902439,889183,877708,1023402,911565,947103,892270,865608,944827,943158,894032,960292,1035730,1080148
98112,850827,898951,977847,1006824,1052120,1108893,1009400,1051367,1084883,1099433,1053605,981892,989268,1020284,1180643,1053143,1055420,1159225,1154446,1130128
98115,662159,670445,715797,717550,762688,868012,899843,746555,777079,723316,753961,708689,723101,719813,780118,777336,764548,805095,817598,843842
98116,671798,673016,655662,675317,739966,846080,814005,720343,723802,706580,705167,779715,808530,779816,801350,806003,817963,935127,800767,901462
98117,785910,756054,701786,731713,861947,796921,766950,761998,732379,673543,723113,716047,725454,826113,789261,834623,793253,808711,857495,885889
98118,454723,482934,519878,516000,546178,611967,640731,595832,547053,550795,579718,545225,536850,565929,613735,550076,558808,693404,728128,676143
98119,806422,845262,908711,877644,926478,932527,923170,810007,860162,931658,924315,888914,869334,988900,921600,951633,907130,1031950,1000932,981804
98121,570000,583333,629833,622000,637200,652500,635250,636667,577213,605333,605214,616722,586116,747786,804991,619583,615000,622667,608300,676325
98122,714798,785613,812737,772858,830228,820227,810491,819810,745617,736863,795140,749895,863442,827663,856967,797034,809897,852597,888115,837419
98125,488690,594837,564998,574863,612810,627866,577600,568375,583508,596277,609847,567510,590748,602143,628501,640551,690308,678268,682467,703610
98126,438550,482396,605417,599714,695595,694636,652931,659925,544143,596074,594924,544602,555518,576104,574273,626319,641230,639396,656920,610929
98133,458537,498660,515096,569823,585549,587188,557510,572200,613037,543877,585785,537677,563113,545299,623480,587700,586002,641700,626800,654545
98136,565728,612587,583979,614673,650184,654604,653673,622530,604373,654681,718061,576939,642681,630637,631429,640123,725183,686423,836275,753462
98144,588908,686460,659733,678195,709598,751986,689297,677859,721670,710206,707411,743890,725739,802997,731713,686907,689307,704763,722350,914993
98146,344275,323088,371450,466442,354563,436000,413454,339412,357939,407767,570560,399617,409406,427860,419067,697693,432027,505682,554933,499200
98177,536360,621967,614618,566550,713958,797166,639588,656568,623625,745495,633808,647788,785299,737381,735634,802259,775016,744788,852883,926491
98178,338659,325225,335021,358183,366646,445714,369650,321827,404953,412854,372479,350044,427382,453117,489991,510954,494727,555756,575015,536356
98199,667235,761252,776057,753136,759545,898555,872484,1032568,772458,831543,743221,863370,863693,910304,824200,850942,943737,1000997,914107,997606
