zipcode,property_type,2018-05,2014-07,2014-11,2014-01,2018-11,2022-03,2020-09,2012-09,2014-06,2023-12,2024-02,2023-01,2019-12,2019-01,2013-05,2019-06,2014-04,2017-07,2012-10,2021-08,2012-03,2014-10,2021-03,2022-08,2023-07,2014-08,2017-10,2015-03,2020-03,2020-08,2012-12,2020-07,2014-03,2022-06,2015-04,2019-04,2023-02,2023-08,2023-10,2019-03,2021-06,2016-12,2020-01,2018-04,2014-05,2013-12,2017-08,2018-08,2015-01,2021-12,2020-02,2015-07,2021-09,2016-06,2022-11,2016-11,2017-01,2014-09,2013-07,2013-04,2021-04,2016-07,2019-10,2016-09,2012-07,2018-10,2023-04,2016-03,2015-10,2013-02,2018-07,2015-12,2021-10,2012-08,2020-12,2020-05,2013-09,2012-11,2013-11,2018-12,2023-06,2022-04,2022-01,2023-11,2023-05,2023-03,2016-04,2017-09,2015-02,2018-02,2022-07,2023-09,2022-10,2013-06,2019-09,2019-08,2013-01,2020-06,2017-06,2017-05,2016-01,2021-05,2021-11,2018-09,2017-03,2019-05,2014-02,2021-07,2015-05,2016-02,2017-02,2015-09,2017-04,2015-11,2017-11,2012-05,2017-12,2021-01,2012-06,2016-10,2020-04,2021-02,2019-02,2019-11,2013-08,2020-10,2022-05,2014-12,2018-06,2018-03,2013-03,2016-05,2024-01,2012-04,2018-01,2015-08,2022-02,2020-11,2013-10,2015-06,2019-07,2016-08,2022-09,2022-12
Zip Code: 98101,All Residential,61.0,39.0,19.0,19.0,50.0,49.0,130.0,60.0,31.0,55.0,59.0,44.0,37.0,38.0,54.0,71.0,30.0,25.0,48.0,65.0,54.0,27.0,60.0,61.0,63.0,28.0,32.0,23.0,53.0,121.0,45.0,103.0,22.0,76.0,28.0,71.0,54.0,67.0,71.0,65.0,63.0,7.0,29.0,53.0,33.0,28.0,33.0,47.0,22.0,41.0,43.0,56.0,69.0,36.0,54.0,13.0,11.0,29.0,34.0,39.0,57.0,31.0,53.0,28.0,58.0,61.0,60.0,49.0,54.0,41.0,35.0,48.0,63.0,53.0,73.0,65.0,40.0,43.0,34.0,37.0,70.0,55.0,36.0,59.0,59.0,53.0,57.0,35.0,19.0,44.0,67.0,75.0,71.0,44.0,62.0,57.0,37.0,100.0,25.0,28.0,47.0,50.0,58.0,57.0,28.0,76.0,25.0,66.0,51.0,48.0,14.0,61.0,29.0,55.0,29.0,53.0,19.0,66.0,60.0,18.0,61.0,60.0,43.0,46.0,36.0,117.0,68.0,18.0,61.0,46.0,37.0,39.0,53.0,60.0,18.0,57.0,44.0,89.0,38.0,52.0,56.0,34.0,62.0,44.0
Zip Code: 98101,Condo/Co-op,61.0,39.0,19.0,19.0,50.0,49.0,130.0,60.0,31.0,55.0,59.0,44.0,37.0,38.0,54.0,71.0,30.0,25.0,48.0,65.0,53.0,27.0,60.0,61.0,63.0,28.0,32.0,23.0,53.0,121.0,45.0,103.0,22.0,76.0,28.0,71.0,54.0,67.0,71.0,65.0,63.0,7.0,29.0,53.0,33.0,28.0,33.0,47.0,21.0,41.0,43.0,56.0,68.0,36.0,54.0,13.0,11.0,29.0,34.0,39.0,57.0,31.0,53.0,28.0,58.0,61.0,60.0,49.0,54.0,41.0,35.0,48.0,62.0,53.0,73.0,65.0,40.0,43.0,34.0,37.0,70.0,55.0,36.0,59.0,59.0,53.0,57.0,35.0,19.0,44.0,67.0,75.0,71.0,44.0,62.0,57.0,37.0,100.0,25.0,28.0,47.0,50.0,57.0,57.0,28.0,76.0,25.0,66.0,51.0,48.0,14.0,61.0,29.0,55.0,29.0,52.0,19.0,66.0,59.0,18.0,61.0,60.0,43.0,46.0,36.0,117.0,68.0,17.0,61.0,46.0,37.0,39.0,53.0,59.0,18.0,57.0,44.0,89.0,38.0,52.0,56.0,34.0,62.0,44.0
Zip Code: 98101,Single Family Residential,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zip Code: 98101,Townhouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zip Code: 98102,All Residential,36.0,50.0,33.0,37.0,58.0,31.0,120.0,61.0,51.0,32.0,46.0,33.0,53.0,49.0,67.0,99.0,50.0,41.0,47.0,61.0,59.0,36.0,90.0,58.0,54.0,42.0,33.0,27.0,61.0,107.0,44.0,86.0,39.0,67.0,30.0,77.0,35.0,66.0,62.0,68.0,91.0,19.0,45.0,35.0,48.0,38.0,31.0,46.0,26.0,21.0,45.0,23.0,70.0,32.0,42.0,32.0,14.0,45.0,61.0,54.0,95.0,34.0,80.0,46.0,66.0,70.0,48.0,27.0,31.0,54.0,46.0,17.0,54.0,59.0,66.0,70.0,71.0,51.0,47.0,45.0,57.0,36.0,21.0,47.0,54.0,44.0,50.0,41.0,22.0,21.0,62.0,74.0,44.0,68.0,82.0,83.0,47.0,73.0,24.0,28.0,22.0,96.0,31.0,67.0,21.0,97.0,36.0,83.0,37.0,26.0,18.0,36.0,18.0,22.0,21.0,62.0,14.0,67.0,77.0,43.0,61.0,74.0,56.0,61.0,74.0,121.0,48.0,30.0,41.0,34.0,62.0,42.0,38.0,69.0,20.0,35.0,29.0,100.0,57.0,36.0,97.0,40.0,54.0,33.0
Zip Code: 98102,Condo/Co-op,18.0,25.0,19.0,22.0,28.0,14.0,71.0,33.0,30.0,19.0,21.0,17.0,35.0,30.0,32.0,61.0,24.0,14.0,26.0,28.0,43.0,18.0,61.0,30.0,29.0,21.0,11.0,17.0,29.0,69.0,23.0,57.0,15.0,41.0,16.0,53.0,18.0,39.0,40.0,48.0,56.0,10.0,29.0,16.0,26.0,21.0,15.0,27.0,18.0,13.0,26.0,11.0,39.0,21.0,25.0,14.0,9.0,20.0,33.0,27.0,64.0,24.0,44.0,23.0,40.0,39.0,26.0,14.0,15.0,25.0,21.0,4.0,29.0,33.0,35.0,40.0,40.0,24.0,27.0,21.0,29.0,16.0,11.0,32.0,29.0,27.0,31.0,20.0,17.0,9.0,36.0,48.0,24.0,39.0,54.0,55.0,24.0,44.0,4.0,11.0,10.0,59.0,19.0,38.0,12.0,57.0,17.0,45.0,21.0,15.0,12.0,18.0,9.0,8.0,10.0,38.0,5.0,41.0,46.0,20.0,34.0,47.0,36.0,33.0,40.0,72.0,23.0,19.0,21.0,11.0,28.0,25.0,24.0,46.0,10.0,18.0,14.0,60.0,32.0,21.0,62.0,26.0,24.0,18.0
Zip Code: 98102,Multi-Family (2-4 Unit),3.0,2.0,1.0,1.0,2.0,3.0,7.0,3.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,5.0,2.0,2.0,2.0,5.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,2.0,4.0,1.0,4.0,0.0,2.0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,1.0,5.0,1.0,5.0,4.0,5.0,2.0,0.0,0.0,1.0,1.0,5.0,4.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,3.0,1.0,4.0,6.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0,0.0,2.0,3.0,4.0,1.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,2.0,0.0,1.0,2.0,3.0,1.0,4.0,3.0,6.0,4.0,0.0,1.0,3.0,1.0,2.0,0.0,5.0,2.0,0.0,2.0,5.0,2.0,1.0,3.0,1.0,0.0,0.0
Zip Code: 98102,Single Family Residential,12.0,12.0,5.0,7.0,12.0,5.0,15.0,16.0,13.0,4.0,10.0,9.0,6.0,8.0,16.0,21.0,15.0,9.0,10.0,9.0,11.0,6.0,11.0,16.0,15.0,10.0,12.0,7.0,15.0,10.0,8.0,7.0,14.0,13.0,11.0,12.0,11.0,15.0,11.0,12.0,8.0,7.0,7.0,9.0,16.0,7.0,4.0,10.0,5.0,2.0,9.0,9.0,6.0,5.0,8.0,13.0,3.0,12.0,13.0,12.0,12.0,7.0,17.0,15.0,14.0,12.0,13.0,6.0,9.0,11.0,13.0,8.0,7.0,14.0,6.0,12.0,14.0,12.0,8.0,11.0,18.0,10.0,4.0,7.0,14.0,9.0,10.0,11.0,3.0,6.0,13.0,14.0,12.0,9.0,13.0,13.0,10.0,11.0,11.0,11.0,9.0,15.0,2.0,13.0,3.0,21.0,9.0,14.0,13.0,8.0,2.0,9.0,5.0,9.0,5.0,14.0,3.0,4.0,19.0,13.0,14.0,9.0,9.0,11.0,19.0,12.0,11.0,4.0,14.0,7.0,13.0,9.0,2.0,14.0,4.0,8.0,5.0,8.0,13.0,11.0,21.0,8.0,17.0,7.0
Zip Code: 98102,Townhouse,3.0,11.0,8.0,7.0,16.0,9.0,27.0,9.0,7.0,5.0,11.0,5.0,10.0,9.0,15.0,12.0,9.0,16.0,9.0,19.0,4.0,11.0,16.0,10.0,5.0,10.0,8.0,2.0,14.0,21.0,11.0,18.0,9.0,9.0,3.0,10.0,5.0,6.0,7.0,7.0,24.0,1.0,6.0,7.0,6.0,9.0,10.0,8.0,3.0,5.0,7.0,2.0,20.0,4.0,8.0,4.0,0.0,12.0,11.0,14.0,18.0,2.0,14.0,7.0,7.0,15.0,4.0,5.0,7.0,17.0,11.0,4.0,13.0,8.0,22.0,16.0,14.0,13.0,11.0,12.0,5.0,7.0,5.0,4.0,5.0,5.0,6.0,9.0,2.0,3.0,10.0,9.0,6.0,16.0,12.0,12.0,12.0,15.0,7.0,4.0,3.0,20.0,7.0,12.0,5.0,14.0,9.0,21.0,2.0,3.0,3.0,9.0,3.0,4.0,5.0,5.0,5.0,20.0,6.0,9.0,11.0,15.0,10.0,13.0,12.0,31.0,10.0,7.0,5.0,13.0,20.0,6.0,9.0,4.0,4.0,9.0,8.0,27.0,10.0,3.0,11.0,5.0,11.0,8.0
Zip Code: 98103,All Residential,63.0,89.0,52.0,53.0,111.0,42.0,140.0,113.0,74.0,36.0,47.0,53.0,51.0,85.0,84.0,132.0,46.0,42.0,81.0,71.0,89.0,69.0,59.0,96.0,61.0,91.0,42.0,42.0,72.0,110.0,47.0,102.0,47.0,88.0,40.0,101.0,48.0,73.0,87.0,86.0,67.0,26.0,49.0,38.0,58.0,49.0,29.0,86.0,26.0,25.0,58.0,54.0,75.0,43.0,76.0,29.0,31.0,82.0,86.0,75.0,64.0,58.0,113.0,61.0,104.0,136.0,38.0,39.0,40.0,56.0,86.0,18.0,73.0,100.0,61.0,77.0,107.0,65.0,56.0,83.0,68.0,41.0,14.0,61.0,54.0,49.0,47.0,32.0,38.0,25.0,109.0,92.0,103.0,92.0,134.0,107.0,43.0,89.0,18.0,34.0,32.0,57.0,35.0,132.0,23.0,116.0,44.0,76.0,42.0,40.0,31.0,48.0,31.0,25.0,21.0,96.0,9.0,63.0,95.0,47.0,74.0,51.0,87.0,76.0,92.0,127.0,50.0,41.0,68.0,31.0,57.0,37.0,40.0,94.0,24.0,44.0,29.0,95.0,79.0,63.0,105.0,55.0,119.0,61.0
