,Zipcode,period_end,inventory
70,98101,2018-01-31,18.0
71,98101,2018-02-28,44.0
72,98101,2018-03-31,46.0
73,98101,2018-04-30,53.0
74,98101,2018-05-31,61.0
75,98101,2018-06-30,61.0
76,98101,2018-07-31,35.0
77,98101,2018-08-31,47.0
78,98101,2018-09-30,57.0
79,98101,2018-10-31,61.0
80,98101,2018-11-30,50.0
81,98101,2018-12-31,37.0
82,98101,2019-01-31,38.0
83,98101,2019-02-28,43.0
84,98101,2019-03-31,65.0
85,98101,2019-04-30,71.0
86,98101,2019-05-31,76.0
87,98101,2019-06-30,71.0
88,98101,2019-07-31,56.0
89,98101,2019-08-31,57.0
90,98101,2019-09-30,62.0
91,98101,2019-10-31,53.0
92,98101,2019-11-30,46.0
93,98101,2019-12-31,37.0
94,98101,2020-01-31,29.0
95,98101,2020-02-29,43.0
96,98101,2020-03-31,53.0
97,98101,2020-04-30,61.0
98,98101,2020-05-31,65.0
99,98101,2020-06-30,100.0
100,98101,2020-07-31,103.0
101,98101,2020-08-31,121.0
102,98101,2020-09-30,130.0
103,98101,2020-10-31,117.0
104,98101,2020-11-30,89.0
105,98101,2020-12-31,73.0
106,98101,2021-01-31,66.0
107,98101,2021-02-28,60.0
108,98101,2021-03-31,60.0
109,98101,2021-04-30,57.0
110,98101,2021-05-31,50.0
111,98101,2021-06-30,63.0
112,98101,2021-07-31,66.0
113,98101,2021-08-31,65.0
114,98101,2021-09-30,69.0
115,98101,2021-10-31,63.0
116,98101,2021-11-30,58.0
117,98101,2021-12-31,41.0
118,98101,2022-01-31,36.0
119,98101,2022-02-28,44.0
120,98101,2022-03-31,49.0
121,98101,2022-04-30,55.0
122,98101,2022-05-31,68.0
123,98101,2022-06-30,76.0
124,98101,2022-07-31,67.0
125,98101,2022-08-31,61.0
126,98101,2022-09-30,62.0
127,98101,2022-10-31,71.0
128,98101,2022-11-30,54.0
129,98101,2022-12-31,44.0
214,98102,2018-01-31,20.0
215,98102,2018-02-28,21.0
216,98102,2018-03-31,34.0
217,98102,2018-04-30,35.0
218,98102,2018-05-31,36.0
219,98102,2018-06-30,41.0
220,98102,2018-07-31,46.0
221,98102,2018-08-31,46.0
