,Zipcode,period_end,inventory
24,98101,2018-03-31,36.0
25,98101,2018-06-30,58.333333333333336
26,98101,2018-09-30,46.333333333333336
27,98101,2018-12-31,49.333333333333336
28,98101,2019-03-31,48.666666666666664
29,98101,2019-06-30,72.66666666666667
30,98101,2019-09-30,58.333333333333336
31,98101,2019-12-31,45.333333333333336
32,98101,2020-03-31,41.666666666666664
33,98101,2020-06-30,75.33333333333333
34,98101,2020-09-30,118.0
35,98101,2020-12-31,93.0
36,98101,2021-03-31,62.0
37,98101,2021-06-30,56.666666666666664
38,98101,2021-09-30,66.66666666666667
39,98101,2021-12-31,54.0
40,98101,2022-03-31,43.0
41,98101,2022-06-30,66.33333333333333
42,98101,2022-09-30,63.333333333333336
43,98101,2022-12-31,56.333333333333336
73,98102,2018-03-31,25.0
74,98102,2018-06-30,37.333333333333336
75,98102,2018-09-30,53.0
76,98102,2018-12-31,57.666666666666664
77,98102,2019-03-31,57.666666666666664
78,98102,2019-06-30,91.0
79,98102,2019-09-30,87.33333333333333
80,98102,2019-12-31,64.66666666666667
81,98102,2020-03-31,50.333333333333336
82,98102,2020-06-30,68.0
83,98102,2020-09-30,104.33333333333333
84,98102,2020-12-31,95.66666666666667
85,98102,2021-03-31,77.0
86,98102,2021-06-30,94.0
87,98102,2021-09-30,71.33333333333333
88,98102,2021-12-31,35.333333333333336
89,98102,2022-03-31,27.0
90,98102,2022-06-30,50.333333333333336
91,98102,2022-09-30,58.0
92,98102,2022-12-31,39.666666666666664
122,98103,2018-03-31,26.666666666666668
123,98103,2018-06-30,56.333333333333336
124,98103,2018-09-30,101.33333333333333
125,98103,2018-12-31,110.0
126,98103,2019-03-31,86.0
127,98103,2019-06-30,116.33333333333333
128,98103,2019-09-30,115.33333333333333
129,98103,2019-12-31,80.0
130,98103,2020-03-31,59.666666666666664
131,98103,2020-06-30,80.0
132,98103,2020-09-30,117.33333333333333
133,98103,2020-12-31,94.33333333333333
134,98103,2021-03-31,57.666666666666664
135,98103,2021-06-30,62.666666666666664
136,98103,2021-09-30,74.0
137,98103,2021-12-31,44.333333333333336
138,98103,2022-03-31,28.333333333333332
139,98103,2022-06-30,59.666666666666664
140,98103,2022-09-30,108.0
141,98103,2022-12-31,80.0
171,98104,2018-03-31,9.666666666666666
172,98104,2018-06-30,14.0
173,98104,2018-09-30,17.666666666666668
174,98104,2018-12-31,25.0
175,98104,2019-03-31,26.666666666666668
176,98104,2019-06-30,42.333333333333336
177,98104,2019-09-30,44.666666666666664
178,98104,2019-12-31,39.666666666666664
179,98104,2020-03-31,30.0
180,98104,2020-06-30,32.0
181,98104,2020-09-30,46.333333333333336
182,98104,2020-12-31,41.666666666666664
183,98104,2021-03-31,41.666666666666664
184,98104,2021-06-30,43.666666666666664
185,98104,2021-09-30,42.333333333333336
186,98104,2021-12-31,39.333333333333336
187,98104,2022-03-31,34.0
188,98104,2022-06-30,40.666666666666664
189,98104,2022-09-30,41.0
190,98104,2022-12-31,37.333333333333336
220,98105,2018-03-31,20.0
221,98105,2018-06-30,30.333333333333332
222,98105,2018-09-30,42.0
223,98105,2018-12-31,40.0
224,98105,2019-03-31,33.666666666666664
225,98105,2019-06-30,59.333333333333336
226,98105,2019-09-30,59.0
227,98105,2019-12-31,36.333333333333336
228,98105,2020-03-31,33.333333333333336
229,98105,2020-06-30,43.333333333333336
230,98105,2020-09-30,64.33333333333333
231,98105,2020-12-31,51.666666666666664
232,98105,2021-03-31,30.666666666666668
233,98105,2021-06-30,36.333333333333336
234,98105,2021-09-30,46.666666666666664
235,98105,2021-12-31,28.0
236,98105,2022-03-31,19.0
237,98105,2022-06-30,35.333333333333336
238,98105,2022-09-30,61.333333333333336
239,98105,2022-12-31,48.333333333333336
269,98106,2018-03-31,17.333333333333332
270,98106,2018-06-30,40.0
271,98106,2018-09-30,76.33333333333333
272,98106,2018-12-31,78.0
273,98106,2019-03-31,67.66666666666667
274,98106,2019-06-30,92.0
275,98106,2019-09-30,90.66666666666667
276,98106,2019-12-31,62.0
277,98106,2020-03-31,50.0
278,98106,2020-06-30,69.0
279,98106,2020-09-30,83.33333333333333
280,98106,2020-12-31,59.333333333333336
281,98106,2021-03-31,21.666666666666668
282,98106,2021-06-30,32.666666666666664
283,98106,2021-09-30,47.0
284,98106,2021-12-31,33.0
285,98106,2022-03-31,14.666666666666666
286,98106,2022-06-30,28.666666666666668
287,98106,2022-09-30,57.666666666666664
288,98106,2022-12-31,56.333333333333336
318,98107,2018-03-31,9.333333333333334
319,98107,2018-06-30,27.333333333333332
320,98107,2018-09-30,48.0
321,98107,2018-12-31,55.666666666666664
322,98107,2019-03-31,57.666666666666664
323,98107,2019-06-30,85.33333333333333
324,98107,2019-09-30,81.33333333333333
325,98107,2019-12-31,45.666666666666664
326,98107,2020-03-31,29.333333333333332
327,98107,2020-06-30,52.666666666666664
328,98107,2020-09-30,66.33333333333333
329,98107,2020-12-31,63.0
330,98107,2021-03-31,46.333333333333336
331,98107,2021-06-30,38.0
332,98107,2021-09-30,39.666666666666664
333,98107,2021-12-31,27.666666666666668
334,98107,2022-03-31,18.0
335,98107,2022-06-30,29.333333333333332
336,98107,2022-09-30,49.0
337,98107,2022-12-31,51.666666666666664
367,98108,2018-03-31,19.0
368,98108,2018-06-30,34.666666666666664
369,98108,2018-09-30,54.666666666666664
370,98108,2018-12-31,48.666666666666664
371,98108,2019-03-31,42.666666666666664
372,98108,2019-06-30,62.666666666666664
373,98108,2019-09-30,67.0
374,98108,2019-12-31,50.0
375,98108,2020-03-31,26.333333333333332
376,98108,2020-06-30,33.666666666666664
377,98108,2020-09-30,56.0
378,98108,2020-12-31,47.333333333333336
379,98108,2021-03-31,25.666666666666668
380,98108,2021-06-30,33.666666666666664
381,98108,2021-09-30,43.0
382,98108,2021-12-31,20.666666666666668
383,98108,2022-03-31,12.0
384,98108,2022-06-30,22.666666666666668
385,98108,2022-09-30,36.666666666666664
386,98108,2022-12-31,42.333333333333336
416,98109,2018-03-31,19.0
417,98109,2018-06-30,36.666666666666664
418,98109,2018-09-30,55.666666666666664
419,98109,2018-12-31,74.33333333333333
420,98109,2019-03-31,67.33333333333333
421,98109,2019-06-30,86.0
422,98109,2019-09-30,73.0
423,98109,2019-12-31,46.0
424,98109,2020-03-31,42.333333333333336
425,98109,2020-06-30,73.0
426,98109,2020-09-30,111.0
427,98109,2020-12-31,105.0
428,98109,2021-03-31,63.333333333333336
429,98109,2021-06-30,66.33333333333333
430,98109,2021-09-30,62.333333333333336
431,98109,2021-12-31,42.333333333333336
432,98109,2022-03-31,22.0
433,98109,2022-06-30,55.333333333333336
434,98109,2022-09-30,77.66666666666667
435,98109,2022-12-31,58.333333333333336
465,98112,2018-03-31,26.0
466,98112,2018-06-30,37.0
467,98112,2018-09-30,56.333333333333336
468,98112,2018-12-31,48.0
469,98112,2019-03-31,37.333333333333336
470,98112,2019-06-30,61.0
471,98112,2019-09-30,61.666666666666664
472,98112,2019-12-31,48.666666666666664
473,98112,2020-03-31,37.666666666666664
474,98112,2020-06-30,44.666666666666664
475,98112,2020-09-30,81.66666666666667
476,98112,2020-12-31,63.666666666666664
477,98112,2021-03-31,44.666666666666664
478,98112,2021-06-30,46.666666666666664
479,98112,2021-09-30,37.333333333333336
480,98112,2021-12-31,21.0
481,98112,2022-03-31,15.333333333333334
482,98112,2022-06-30,30.0
483,98112,2022-09-30,44.666666666666664
484,98112,2022-12-31,33.666666666666664
509,98113,2018-03-31,
510,98113,2018-06-30,
511,98113,2018-09-30,
512,98113,2018-12-31,
