,0
2017-Q1,1745.5935722814115
2017-Q2,1814.3840533941388
2017-Q3,1841.9948805408446
2017-Q4,1813.7230539641355
2018-Q1,1807.085359534286
2018-Q2,1856.5169252929352
2018-Q3,1876.9904619734048
2018-Q4,1850.6365457845918
2019-Q1,1859.1323012103796
2019-Q2,1904.4836130172678
2019-Q3,1936.91289332087
2019-Q4,1927.3173563533571
2020-Q1,1957.3537907495775
2020-Q2,1966.4374025978427
2020-Q3,1928.016110951865
2020-Q4,1816.2037855700364
2021-Q1,1779.6648047394506
2021-Q2,1871.2822611463707
2021-Q3,2020.3442607130585
2021-Q4,2040.6540937840268
