,Zipcode,period_end,inventory
6,98101,2018-12-31,47.5
7,98101,2019-12-31,56.25
8,98101,2020-12-31,82.0
9,98101,2021-12-31,59.833333333333336
10,98101,2022-12-31,57.25
19,98102,2018-12-31,43.25
20,98102,2019-12-31,75.16666666666667
21,98102,2020-12-31,79.58333333333333
22,98102,2021-12-31,69.41666666666667
23,98102,2022-12-31,43.75
32,98103,2018-12-31,73.58333333333333
33,98103,2019-12-31,99.41666666666667
34,98103,2020-12-31,87.83333333333333
35,98103,2021-12-31,59.666666666666664
36,98103,2022-12-31,69.0
45,98104,2018-12-31,16.583333333333332
46,98104,2019-12-31,38.333333333333336
47,98104,2020-12-31,37.5
48,98104,2021-12-31,41.75
49,98104,2022-12-31,38.25
58,98105,2018-12-31,33.083333333333336
59,98105,2019-12-31,47.083333333333336
60,98105,2020-12-31,48.166666666666664
61,98105,2021-12-31,35.416666666666664
62,98105,2022-12-31,41.0
71,98106,2018-12-31,52.916666666666664
72,98106,2019-12-31,78.08333333333333
73,98106,2020-12-31,65.41666666666667
74,98106,2021-12-31,33.583333333333336
75,98106,2022-12-31,39.333333333333336
84,98107,2018-12-31,35.083333333333336
85,98107,2019-12-31,67.5
86,98107,2020-12-31,52.833333333333336
87,98107,2021-12-31,37.916666666666664
88,98107,2022-12-31,37.0
97,98108,2018-12-31,39.25
98,98108,2019-12-31,55.583333333333336
99,98108,2020-12-31,40.833333333333336
100,98108,2021-12-31,30.75
101,98108,2022-12-31,28.416666666666668
110,98109,2018-12-31,46.416666666666664
111,98109,2019-12-31,68.08333333333333
112,98109,2020-12-31,82.83333333333333
113,98109,2021-12-31,58.583333333333336
114,98109,2022-12-31,53.333333333333336
123,98112,2018-12-31,41.833333333333336
124,98112,2019-12-31,52.166666666666664
125,98112,2020-12-31,56.916666666666664
126,98112,2021-12-31,37.416666666666664
127,98112,2022-12-31,30.916666666666668
135,98113,2018-12-31,
136,98113,2019-12-31,
137,98113,2020-12-31,
138,98113,2021-12-31,
139,98113,2022-12-31,
147,98115,2018-12-31,64.75
148,98115,2019-12-31,89.83333333333333
149,98115,2020-12-31,62.666666666666664
150,98115,2021-12-31,44.416666666666664
151,98115,2022-12-31,52.583333333333336
160,98116,2018-12-31,45.75
161,98116,2019-12-31,54.666666666666664
162,98116,2020-12-31,61.166666666666664
163,98116,2021-12-31,43.666666666666664
164,98116,2022-12-31,37.25
173,98117,2018-12-31,45.833333333333336
174,98117,2019-12-31,66.5
175,98117,2020-12-31,40.166666666666664
176,98117,2021-12-31,34.166666666666664
177,98117,2022-12-31,51.833333333333336
186,98118,2018-12-31,70.75
187,98118,2019-12-31,89.75
188,98118,2020-12-31,73.0
189,98118,2021-12-31,61.0
190,98118,2022-12-31,58.666666666666664
199,98119,2018-12-31,54.75
200,98119,2019-12-31,74.25
201,98119,2020-12-31,65.66666666666667
202,98119,2021-12-31,46.833333333333336
203,98119,2022-12-31,39.75
212,98121,2018-12-31,68.91666666666667
213,98121,2019-12-31,88.83333333333333
214,98121,2020-12-31,105.75
215,98121,2021-12-31,75.0
216,98121,2022-12-31,75.33333333333333
225,98122,2018-12-31,49.75
226,98122,2019-12-31,74.91666666666667
227,98122,2020-12-31,78.75
228,98122,2021-12-31,72.5
229,98122,2022-12-31,64.25
238,98125,2018-12-31,45.083333333333336
239,98125,2019-12-31,66.66666666666667
240,98125,2020-12-31,46.666666666666664
241,98125,2021-12-31,29.083333333333332
242,98125,2022-12-31,39.416666666666664
251,98126,2018-12-31,64.5
252,98126,2019-12-31,67.08333333333333
253,98126,2020-12-31,55.666666666666664
254,98126,2021-12-31,34.166666666666664
255,98126,2022-12-31,28.416666666666668
264,98133,2018-12-31,73.33333333333333
265,98133,2019-12-31,91.25
266,98133,2020-12-31,62.333333333333336
267,98133,2021-12-31,50.416666666666664
268,98133,2022-12-31,75.25
277,98134,2018-12-31,1.5
278,98134,2019-12-31,1.0
279,98134,2020-12-31,
280,98134,2021-12-31,1.25
281,98134,2022-12-31,2.2
289,98136,2018-12-31,33.916666666666664
290,98136,2019-12-31,36.916666666666664
291,98136,2020-12-31,33.166666666666664
292,98136,2021-12-31,18.5
293,98136,2022-12-31,22.0
302,98144,2018-12-31,51.666666666666664
303,98144,2019-12-31,75.66666666666667
304,98144,2020-12-31,64.5
305,98144,2021-12-31,49.25
306,98144,2022-12-31,64.25
315,98146,2018-12-31,43.083333333333336
316,98146,2019-12-31,49.416666666666664
317,98146,2020-12-31,36.5
318,98146,2021-12-31,20.25
319,98146,2022-12-31,30.416666666666668
328,98175,2018-12-31,1.0
329,98175,2019-12-31,1.0
330,98175,2020-12-31,
331,98175,2021-12-31,1.0
332,98175,2022-12-31,
341,98177,2018-12-31,35.25
342,98177,2019-12-31,48.666666666666664
343,98177,2020-12-31,20.833333333333332
344,98177,2021-12-31,14.090909090909092
345,98177,2022-12-31,21.166666666666668
354,98178,2018-12-31,59.25
355,98178,2019-12-31,54.916666666666664
356,98178,2020-12-31,33.166666666666664
357,98178,2021-12-31,20.083333333333332
358,98178,2022-12-31,28.166666666666668
362,98185,2018-12-31,
363,98185,2019-12-31,
364,98185,2020-12-31,
365,98185,2021-12-31,
371,98194,2018-12-31,
372,98194,2019-12-31,
373,98194,2020-12-31,
374,98194,2021-12-31,2.5
375,98194,2022-12-31,
384,98199,2018-12-31,47.583333333333336
385,98199,2019-12-31,59.916666666666664
386,98199,2020-12-31,48.083333333333336
387,98199,2021-12-31,33.25
388,98199,2022-12-31,41.916666666666664
