,Zipcode,period_end,inventory
0,98101,2012-12-31,53.4
1,98101,2013-12-31,38.5
2,98101,2014-12-31,26.666666666666668
3,98101,2015-12-31,43.833333333333336
4,98101,2016-12-31,33.916666666666664
5,98101,2017-12-31,25.666666666666668
6,98101,2018-12-31,47.5
7,98101,2019-12-31,56.25
8,98101,2020-12-31,82.0
9,98101,2021-12-31,59.833333333333336
10,98101,2022-12-31,57.25
11,98101,2023-12-31,60.833333333333336
12,98101,2024-12-31,56.0
13,98102,2012-12-31,59.5
14,98102,2013-12-31,58.333333333333336
15,98102,2014-12-31,41.416666666666664
16,98102,2015-12-31,28.5
17,98102,2016-12-31,34.416666666666664
18,98102,2017-12-31,25.333333333333332
19,98102,2018-12-31,43.25
20,98102,2019-12-31,75.16666666666667
21,98102,2020-12-31,79.58333333333333
22,98102,2021-12-31,69.41666666666667
23,98102,2022-12-31,43.75
24,98102,2023-12-31,50.5
25,98102,2024-12-31,42.0
26,98103,2012-12-31,88.4
27,98103,2013-12-31,73.0
28,98103,2014-12-31,62.166666666666664
29,98103,2015-12-31,40.0
30,98103,2016-12-31,42.833333333333336
31,98103,2017-12-31,28.583333333333332
32,98103,2018-12-31,73.58333333333333
33,98103,2019-12-31,99.41666666666667
34,98103,2020-12-31,87.83333333333333
35,98103,2021-12-31,59.666666666666664
36,98103,2022-12-31,69.0
37,98103,2023-12-31,60.0
38,98103,2024-12-31,43.5
39,98104,2012-12-31,17.5
40,98104,2013-12-31,16.166666666666668
41,98104,2014-12-31,16.5
42,98104,2015-12-31,13.083333333333334
43,98104,2016-12-31,17.666666666666668
44,98104,2017-12-31,16.25
45,98104,2018-12-31,16.583333333333332
46,98104,2019-12-31,38.333333333333336
47,98104,2020-12-31,37.5
48,98104,2021-12-31,41.75
49,98104,2022-12-31,38.25
50,98104,2023-12-31,32.75
51,98104,2024-12-31,27.5
52,98105,2012-12-31,48.1
53,98105,2013-12-31,36.5
54,98105,2014-12-31,34.916666666666664
55,98105,2015-12-31,25.916666666666668
56,98105,2016-12-31,24.25
57,98105,2017-12-31,22.75
58,98105,2018-12-31,33.083333333333336
59,98105,2019-12-31,47.083333333333336
60,98105,2020-12-31,48.166666666666664
61,98105,2021-12-31,35.416666666666664
62,98105,2022-12-31,41.0
63,98105,2023-12-31,38.0
64,98105,2024-12-31,37.0
65,98106,2012-12-31,73.1
66,98106,2013-12-31,77.66666666666667
67,98106,2014-12-31,69.33333333333333
68,98106,2015-12-31,37.666666666666664
69,98106,2016-12-31,34.333333333333336
70,98106,2017-12-31,22.333333333333332
71,98106,2018-12-31,52.916666666666664
72,98106,2019-12-31,78.08333333333333
73,98106,2020-12-31,65.41666666666667
