period_begin,period_end,region,property_type,median_sale_price,median_list_price,median_ppsf,homes_sold,new_listings,inventory,avg_sale_to_list,sold_above_list
2018-03-01,2018-05-31,Zip Code: 98121,All Residential,667500.0,625000.0,860.1215264632392,98.0,145.0,52.0,1.0375498560743803,0.5204081632653061
2014-05-01,2014-07-31,Zip Code: 98103,All Residential,539000.0,535000.0,318.69565217391306,244.0,283.0,89.0,1.030419694775278,0.5450819672131147
2014-09-01,2014-11-30,Zip Code: 98175,Townhouse,360000.0,,260.6806661839247,1.0,,,0.9863013698630136,0.0
2013-11-01,2014-01-31,Zip Code: 98103,Multi-Family (2-4 Unit),570500.0,850000.0,244.88291719565524,2.0,1.0,4.0,0.9694712800359632,0.0
2018-09-01,2018-11-30,Zip Code: 98122,Townhouse,742500.0,749000.0,546.1051684911436,34.0,46.0,18.0,0.9892494902192694,0.088235294117647
2022-01-01,2022-03-31,Zip Code: 98103,Townhouse,759950.0,792475.0,642.8947368421053,135.0,112.0,10.0,1.0334726663193126,0.3925925925925926
2020-07-01,2020-09-30,Zip Code: 98103,Condo/Co-op,403750.0,415000.0,567.7268967591549,52.0,80.0,44.0,1.0097263887107335,0.3269230769230769
2012-07-01,2012-09-30,Zip Code: 98103,Townhouse,363000.0,386000.0,259.3984962406015,37.0,41.0,17.0,0.9953330072421356,0.2702702702702702
2014-04-01,2014-06-30,Zip Code: 98103,Single Family Residential,585000.0,615000.0,319.57509881422925,105.0,151.0,36.0,1.0502476484895291,0.619047619047619
2023-10-01,2023-12-31,Zip Code: 98121,All Residential,700000.0,589975.0,750.7507507507507,57.0,64.0,68.0,0.9770262866731912,0.0526315789473684
2023-12-01,2024-02-29,Zip Code: 98103,All Residential,850000.0,825000.0,592.7835051546392,143.0,149.0,47.0,1.000987712695895,0.2377622377622377
2022-11-01,2023-01-31,Zip Code: 98103,All Residential,905000.0,845000.0,587.5480807181968,114.0,111.0,53.0,0.986612854640864,0.1929824561403508
2019-10-01,2019-12-31,Zip Code: 98121,All Residential,600000.0,615000.0,711.9386637458928,81.0,63.0,48.0,0.9715269743378993,0.0246913580246913
2018-11-01,2019-01-31,Zip Code: 98101,All Residential,705000.0,653000.0,811.6883116883117,27.0,24.0,38.0,0.960263853676988,0.037037037037037
2013-03-01,2013-05-31,Zip Code: 98103,Condo/Co-op,205500.0,235000.0,304.5343473382372,46.0,53.0,19.0,1.0023616738148824,0.3043478260869565
2019-04-01,2019-06-30,Zip Code: 98103,Condo/Co-op,495000.0,409950.0,598.4848484848485,45.0,78.0,38.0,0.9979228229323096,0.2444444444444444
2014-02-01,2014-04-30,Zip Code: 98103,Townhouse,437309.0,385000.0,320.459531493636,69.0,73.0,9.0,1.021052207438239,0.5072463768115942
2017-05-01,2017-07-31,Zip Code: 98103,Multi-Family (2-4 Unit),1100000.0,997000.0,437.5,9.0,8.0,2.0,1.0408764168564888,0.6666666666666666
2012-08-01,2012-10-31,Zip Code: 98175,Multi-Family (2-4 Unit),520000.0,,129.03225806451613,1.0,,,0.912280701754386,0.0
2021-06-01,2021-08-31,Zip Code: 98103,All Residential,890000.0,799800.0,584.723990170982,334.0,347.0,71.0,1.0468449519401646,0.5359281437125748
2012-01-01,2012-03-31,Zip Code: 98121,Condo/Co-op,312000.0,360000.0,374.2138364779874,39.0,69.0,63.0,0.9634339408295716,0.1025641025641025
2014-08-01,2014-10-31,Zip Code: 98103,Townhouse,455000.0,475000.0,320.61855670103085,39.0,41.0,7.0,1.0089468167512412,0.3589743589743589
2021-01-01,2021-03-31,Zip Code: 98103,Single Family Residential,1086000.0,907500.0,530.6451612903226,93.0,122.0,20.0,1.061705825766205,0.5591397849462365
2022-06-01,2022-08-31,Zip Code: 98103,Multi-Family (2-4 Unit),882500.0,947000.0,521.5336134453784,6.0,9.0,1.0,1.0303496106935837,0.5
2023-05-01,2023-07-31,Zip Code: 98103,Townhouse,950000.0,946500.0,663.0086877000457,49.0,74.0,18.0,1.0076919125441266,0.4081632653061224
2014-06-01,2014-08-31,Zip Code: 98103,Single Family Residential,670000.0,625000.0,321.42857142857144,121.0,140.0,41.0,1.0478166640285982,0.6033057851239669
2017-08-01,2017-10-31,Zip Code: 98103,Single Family Residential,875000.0,837000.0,431.3186813186813,127.0,132.0,24.0,1.068219863379784,0.5905511811023622
2015-01-01,2015-03-31,Zip Code: 98103,All Residential,501250.0,549950.0,338.1317315658658,136.0,183.0,42.0,1.0270400673349898,0.4705882352941176
2020-01-01,2020-03-31,Zip Code: 98103,Condo/Co-op,428500.0,449950.0,601.6545879174107,44.0,47.0,18.0,1.0136351167721347,0.3409090909090908
2020-06-01,2020-08-31,Zip Code: 98121,All Residential,620000.0,649475.0,743.781094527363,81.0,208.0,166.0,0.9837899011941494,0.1358024691358024
2018-11-01,2019-01-31,Zip Code: 98103,Townhouse,685000.0,729950.0,477.1428571428572,41.0,47.0,32.0,0.9820051536388222,0.0975609756097561
2012-10-01,2012-12-31,Zip Code: 98103,Townhouse,409500.0,429475.0,274.46588010204084,42.0,22.0,2.0,0.9862413461764304,0.3333333333333333
2020-05-01,2020-07-31,Zip Code: 98103,Condo/Co-op,402500.0,400000.0,559.3573093573093,36.0,61.0,27.0,1.0091255414721234,0.2777777777777777
2014-01-01,2014-03-31,Zip Code: 98103,Multi-Family (2-4 Unit),591250.0,699950.0,202.40889954554325,4.0,2.0,1.0,0.9781206806845586,0.25
2022-04-01,2022-06-30,Zip Code: 98103,Condo/Co-op,499250.0,467400.0,654.3751666076494,70.0,86.0,21.0,1.0391786013816953,0.4857142857142857
2015-02-01,2015-04-30,Zip Code: 98101,All Residential,497000.0,605000.0,567.6344866656407,34.0,55.0,28.0,0.9980103342033644,0.4705882352941176
2019-02-01,2019-04-30,Zip Code: 98103,All Residential,743750.0,775000.0,497.3819118896839,206.0,241.0,101.0,1.0033479939551408,0.3446601941747573
2022-12-01,2023-02-28,Zip Code: 98103,All Residential,829000.0,850000.0,580.1259622113366,123.0,132.0,48.0,0.992760316221615,0.2357723577235772
2023-06-01,2023-08-31,Zip Code: 98103,All Residential,930000.0,917475.0,618.0111526274545,204.0,218.0,73.0,1.0143769279892991,0.4068627450980392
2012-01-01,2012-03-31,Zip Code: 98103,Single Family Residential,485000.0,479500.0,222.44897959183675,73.0,94.0,39.0,0.9981399745939404,0.3287671232876712
2023-08-01,2023-10-31,Zip Code: 98103,Single Family Residential,1011000.0,1088000.0,548.2612781954888,74.0,97.0,26.0,1.0221719802103306,0.5135135135135134
2019-01-01,2019-03-31,Zip Code: 98103,Townhouse,682000.0,739000.0,534.3023255813954,55.0,65.0,30.0,0.992176456717674,0.1454545454545454
2021-04-01,2021-06-30,Zip Code: 98103,Townhouse,852500.0,775000.0,575.7097791798108,101.0,121.0,22.0,1.0374086705908985,0.5544554455445545
2016-10-01,2016-12-31,Zip Code: 98103,Condo/Co-op,340000.0,327500.0,463.768115942029,33.0,18.0,5.0,1.0238172387680702,0.4545454545454545
2023-05-01,2023-07-31,Zip Code: 98103,Single Family Residential,1159936.0,1112500.0,564.1592920353983,101.0,112.0,20.0,1.0300956218167827,0.5247524752475247
2012-01-01,2012-03-31,Zip Code: 98103,Condo/Co-op,177000.0,215000.0,227.6176024279211,27.0,39.0,35.0,0.9722288601915492,0.2592592592592592
