Zipcode,Description,Total Population,Adjusted Gross Income,Average AGI per Capita 2021
98101,,9720,2683169,165822.86995884773
98102,,16330,3212840,66266.21530924678
98103,,30010,5303134,33594.35868043985
98105,,17100,3989286,17876.09918128655
98107,,17140,2742637,90567.69521586932
98109,,20070,3948915,17242.266865969108
98115,,29100,5660508,46925.797388316154
98116,,15270,2618637,109779.32521283563
98117,,18380,3469049,44935.70707290533
98119,,13460,2893234,104140.66092124814
98121,,12150,2693272,131826.77333333335
98122,,23400,3574085,30806.935726495725
98125,,21750,2481080,83397.11705747126
98133,,25380,2509477,70350.28747044917
98144,,17200,2470947,106047.69162790697
98199,,11340,3063487,108596.14603174603
